,Label,codice_macro,descrizione_codice_macro,numero_codice_campo,descrizione_codice_campo
328,11630807.0,E,Welfare territoriale e sostenibilitа,10.0,Eventi e attivitа per le famiglie
268,11630808.0,E,Welfare territoriale e sostenibilitа,10.0,Eventi e attivitа per le famiglie
69,11630808.0,E,Welfare territoriale e sostenibilitа,9.0,Progetti per protagonismo dei giovani
178,11630808.0,D,Comunitа educante,8.0,Formazione
130,11630809.0,E,Welfare territoriale e sostenibilitа,9.0,Progetti per protagonismo dei giovani
215,11630810.0,E,Welfare territoriale e sostenibilitа,10.0,Eventi e attivitа per le famiglie
410,11630810.0,D,Comunitа educante,8.0,Formazione
61,11630810.0,E,Welfare territoriale e sostenibilitа,9.0,Progetti per protagonismo dei giovani
263,11630811.0,C,Informazione e comunicazione,6.0,Comunicazione
51,11630811.0,E,Welfare territoriale e sostenibilitа,9.0,Progetti per protagonismo dei giovani
86,11630811.0,E,Welfare territoriale e sostenibilitа,10.0,Eventi e attivitа per le famiglie
239,11630811.0,B,Misure economiche,4.0,Agevolazioni e contributi
309,11630812.0,D,Comunitа educante,8.0,Formazione
302,11630812.0,A,Governance e azioni di rete,2.0,Azioni di rete e sussidiarietа
376,11630812.0,C,Informazione e comunicazione,6.0,Comunicazione
49,11630812.0,E,Welfare territoriale e sostenibilitа,9.0,Progetti per protagonismo dei giovani
235,11630812.0,E,Welfare territoriale e sostenibilitа,10.0,Eventi e attivitа per le famiglie
396,11630814.0,D,Comunitа educante,8.0,Formazione
182,11630814.0,E,Welfare territoriale e sostenibilitа,9.0,Progetti per protagonismo dei giovani
41,11630815.0,E,Welfare territoriale e sostenibilitа,9.0,Progetti per protagonismo dei giovani
480,11630815.0,D,Comunitа educante,8.0,Formazione
238,11630815.0,E,Welfare territoriale e sostenibilitа,10.0,Eventi e attivitа per le famiglie
411,11630815.0,B,Misure economiche,5.0,Benefit e scontistica
161,11630816.0,E,Welfare territoriale e sostenibilitа,9.0,Progetti per protagonismo dei giovani
477,11630816.0,E,Welfare territoriale e sostenibilitа,10.0,Eventi e attivitа per le famiglie
234,11630817.0,D,Comunitа educante,7.0,Ascolto
465,11630817.0,A,Governance e azioni di rete,2.0,Azioni di rete e sussidiarietа
283,11630817.0,D,Comunitа educante,8.0,Formazione
29,11630817.0,E,Welfare territoriale e sostenibilitа,9.0,Progetti per protagonismo dei giovani
124,11630817.0,E,Welfare territoriale e sostenibilitа,10.0,Eventi e attivitа per le famiglie
